# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,-2.162029208312931782e-03,1.640475460674673501e-03
2.000400160064025567e-11,-2.228011282648101766e-03,1.194748433198350272e-03
4.000800320128051133e-11,-2.248378796894677945e-03,7.288485997527115092e-04
6.001200480192076700e-11,-2.223362353986227478e-03,2.684307731017376332e-04
8.001600640256102266e-11,-2.154952904885827636e-03,-1.610407805438676210e-04
1.000200080032012783e-10,-2.046776831568444029e-03,-5.357433313386930109e-04
1.200240096038415340e-10,-1.903897055010802001e-03,-8.348348475991449608e-04
1.400280112044817897e-10,-1.732551557544473623e-03,-1.041606303185629856e-03
1.600320128051220453e-10,-1.539843636289835432e-03,-1.144383859040394927e-03
1.800360144057623010e-10,-1.333400326390022208e-03,-1.137132888442637067e-03
2.000400160064025567e-10,-1.121016654371565033e-03,-1.019733618811733073e-03
2.200440176070428123e-10,-9.103036582848047066e-04,-7.979174668755022182e-04
2.400480192076830680e-10,-7.083574489934145587e-04,-4.828728126130199722e-04
2.600520208083233237e-10,-5.214650428858979940e-04,-9.054784691906500160e-05
2.800560224089635793e-10,-3.548603731516257833e-04,3.593048460702823166e-04
3.000600240096038350e-10,-2.125409267861663601e-04,8.442831113556164939e-04
3.200640256102440907e-10,-9.715203066822731051e-05,1.340620002366442812e-03
3.400680272108843463e-10,-9.942116109561260077e-06,1.824522660663425088e-03
3.600720288115246020e-10,4.921146933639965329e-05,2.273487524369692449e-03
3.800760304121648577e-10,8.171015944031240880e-05,2.667516720901922777e-03
4.000800320128051133e-10,9.008273373910129277e-05,2.990167452307394835e-03
4.200840336134453690e-10,7.778491584196223088e-05,3.229376992920314927e-03
4.400880352140856247e-10,4.896235490235712596e-05,3.378019902906892382e-03
4.600920368147258803e-10,8.190796573939440595e-06,3.434170354925083959e-03
4.800960384153661360e-10,-3.979207460762143296e-05,3.401060088360477809e-03
5.001000400160063916e-10,-9.034875734910286101e-05,3.286740396108375501e-03
5.201040416166466473e-10,-1.391845361798580685e-04,3.103473660804099196e-03
