# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,1.146687945785935213e-03,1.000359073211037420e-03
2.000400160064025567e-11,7.666702419643864645e-04,1.610670444922946386e-03
4.000800320128051133e-11,3.511228724513145794e-04,2.042114953690842699e-03
6.001200480192076700e-11,-8.534772296936877362e-05,2.276883003781592606e-03
8.001600640256102266e-11,-5.274261041776001418e-04,2.308732339974725861e-03
1.000200080032012783e-10,-9.597734051966696480e-04,2.143141832276007110e-03
1.200240096038415340e-10,-1.367709128964986849e-03,1.796767236450716107e-03
1.400280112044817897e-10,-1.737854546425609669e-03,1.296241036341419517e-03
1.600320128051220453e-10,-2.058705305044009233e-03,6.763975766522663247e-04
1.800360144057623010e-10,-2.321104832815820695e-03,-2.196157394858128386e-05
2.000400160064025567e-10,-2.518595634614880820e-03,-7.546207277048795452e-04
2.200440176070428123e-10,-2.647632302011011275e-03,-1.476662883983776917e-03
2.400480192076830680e-10,-2.707647611370564943e-03,-2.145175870577684194e-03
2.600520208083233237e-10,-2.700971038793159151e-03,-2.721788074950499525e-03
2.800560224089635793e-10,-2.632606924665170829e-03,-3.174882588605305953e-03
3.000600240096038350e-10,-2.509886931646210500e-03,-3.481360223932754901e-03
3.200640256102440907e-10,-2.342017945608174286e-03,-3.627851141610485136e-03
3.400680272108843463e-10,-2.139551812480465238e-03,-3.611309869451103174e-03
3.600720288115246020e-10,-1.913807003685591554e-03,-3.438967088862503966e-03
3.800760304121648577e-10,-1.676274268698161110e-03,-3.127651306996223103e-03
4.000800320128051133e-10,-1.438038476604519946e-03,-2.702531971035417209e-03
4.200840336134453690e-10,-1.209247186584711540e-03,-2.195370372351198793e-03
4.400880352140856247e-10,-9.986531410436730056e-04,-1.642393738452737565e-03
4.600920368147258803e-10,-8.132530615450822911e-04,-1.081929501582451275e-03
4.800960384153661360e-10,-6.580391457857597860e-04,-5.519496238833739282e-04
5.001000400160063916e-10,-5.358728764631876798e-04,-8.767835872611551350e-05
5.201040416166466473e-10,-4.474835648026635531e-04,2.805891696574230724e-04
5.401080432172869030e-10,-3.915868851863047091e-04,5.293252000445974013e-04
5.601120448179271586e-10,-3.651119279031764362e-04,6.431550128018625068e-04
5.801160464185674143e-10,-3.635193880023063640e-04,6.157101569884591234e-04
6.001200480192076700e-10,-3.811887491960630134e-04,4.499033806273172948e-04
6.201240496198479256e-10,-4.118489696986546303e-04,1.576158910621568415e-04
6.401280512204881813e-10,-4.490254018435839390e-04,-2.411758165628557376e-04
6.601320528211284370e-10,-4.864755534909246900e-04,-7.197718407860403088e-04
6.801360544217686926e-10,-5.185878017951520147e-04,-1.246527496391934380e-03
7.001400560224089483e-10,-5.407201778398013298e-04,-1.786922523570179215e-03
7.201440576230492040e-10,-5.494606452498077822e-04,-2.305788034313361635e-03
7.401480592236894596e-10,-5.427956144267024382e-04,-2.769550092543951632e-03
7.601520608243297153e-10,-5.201794276744742393e-04,-3.148349427839327273e-03
7.801560624249699710e-10,-4.825038453344315890e-04,-3.417906106963226973e-03
8.001600640256102266e-10,-4.319727731829383320e-04,-3.561015357013337136e-03
8.201640656262504823e-10,-3.718932221298969264e-04,-3.568584981559009932e-03
8.401680672268907380e-10,-3.063984417866654538e-04,-3.440154355286168929e-03
8.601720688275309936e-10,-2.401230327072212270e-04,-3.183867930331438136e-03
8.801760704281712493e-10,-1.778524014926040190e-04,-2.815910454653359259e-03
9.001800720288115050e-10,-1.241700445892857400e-04,-2.359444545810747765e-03
9.201840736294517606e-10,-8.312578628278213030e-05,-1.843121812845288339e-03
9.401880752300919129e-10,-5.794630103091242054e-05,-1.299264506910570438e-03
9.601920768307322720e-10,-5.080615394657110210e-05,-7.618341559708552337e-04
9.801960784313726310e-10,-6.267340777823923639e-05,-2.643156574150127202e-04
1.000200080032012783e-09,-9.323884586552857122e-05,1.623508022967635729e-04
1.020204081632652936e-09,-1.409323701876152336e-04,4.916620145310284223e-04
1.040208083233293295e-09,-2.030244996194402202e-04,7.031525141704273374e-04
1.060212084833933654e-09,-2.758054680007055782e-04,7.836075201348455341e-04
1.080216086434573806e-09,-3.548295393836405900e-04,7.278168739866771372e-04
1.100220088035213958e-09,-4.352081159272162022e-04,5.388281021755411248e-04
1.120224089635854317e-09,-5.119322538935794364e-04,2.276883149123579424e-04
1.140228091236494676e-09,-5.802034968773536619e-04,-1.873034653758239422e-04
1.160232092837134829e-09,-6.357515750226987736e-04,-6.817817703679421911e-04
1.180236094437774981e-09,-6.751185124734804775e-04,-1.226859548853626459e-03
1.200240096038415340e-09,-6.958909566496609706e-04,-1.790932587355515641e-03
1.220244097639055699e-09,-6.968659377858725740e-04,-2.341628670664207441e-03
1.240248099239695851e-09,-6.781395631217755756e-04,-2.847779012261970888e-03
1.260252100840336004e-09,-6.411130712028363914e-04,-3.281289556057839698e-03
1.280256102440976363e-09,-5.884159058951401620e-04,-3.618797456896787317e-03
1.300260104041616722e-09,-5.237506884685356719e-04,-3.843012822669941101e-03
1.320264105642256874e-09,-4.516698449945285871e-04,-3.943666644333615294e-03
1.340268107242897026e-09,-3.772978848752873179e-04,-3.918011381613779529e-03
1.360272108843537385e-09,-3.060166664335827900e-04,-3.770849262003602136e-03
1.380276110444177744e-09,-2.431332268954075778e-04,-3.514093165768547144e-03
1.400280112044817897e-09,-1.935507662509900828e-04,-3.165894129373857807e-03
1.420284113645458049e-09,-1.614631040026160173e-04,-2.749396184109320976e-03
1.440288115246098408e-09,-1.500914010794594225e-04,-2.291201809927878759e-03
1.460292116846738767e-09,-1.614792600335455486e-04,-1.819648356424796243e-03
1.480296118447378919e-09,-1.963586591872702725e-04,-1.363006351993312259e-03
1.500300120048019072e-09,-2.540947738278384062e-04,-9.477140956743639391e-04
1.520304121648659431e-09,-3.327128670693242532e-04,-5.967591629786807728e-04
1.540308123249299790e-09,-4.290053984560518343e-04,-3.283067720779816773e-04
1.560312124849939942e-09,-5.387126112056290789e-04,-1.546580972695099198e-04
1.580316126450580094e-09,-6.567654189619424139e-04,-8.159971039117852913e-05
1.600320128051220453e-09,-7.775756897557815385e-04,-1.081798120739139145e-04
1.620324129651860812e-09,-8.953562418092663334e-04,-2.269194307315343839e-04
1.640328131252500965e-09,-1.004451186295001082e-03,-4.244390729200959392e-04
1.660332132853141117e-09,-1.099656770196238455e-03,-6.824551551587396949e-04
1.680336134453781476e-09,-1.176513607430534382e-03,-9.790775713978362368e-04
1.700340136054421835e-09,-1.231553082659660832e-03,-1.290321372799595537e-03
1.720344137655061987e-09,-1.262483642912573013e-03,-1.591732874419221275e-03
1.740348139255702140e-09,-1.268306467880769145e-03,-1.860024302439459380e-03
1.760352140856342499e-09,-1.249354390719855821e-03,-2.074611686455757331e-03
1.780356142456982858e-09,-1.207252652502803112e-03,-2.218957982324924229e-03
1.800360144057623010e-09,-1.144804822387808811e-03,-2.281636858602933190e-03
1.820364145658263162e-09,-1.065811709775595561e-03,-2.257051284560223844e-03
1.840368147258903521e-09,-9.748350604093147711e-04,-2.145763786418857736e-03
1.860372148859543880e-09,-8.769210269348739432e-04,-1.954420512979161435e-03
1.880376150460183826e-09,-7.773006469969905713e-04,-1.695277445657783922e-03
1.900380152060824185e-09,-6.810857205278668652e-04,-1.385362529876492952e-03
1.920384153661464544e-09,-5.929784928142027220e-04,-1.045330584682154385e-03
1.940388155262104903e-09,-5.170124328913066388e-04,-6.980871179034878757e-04
1.960392156862745262e-09,-4.563392294819625626e-04,-3.672714402451981129e-04
1.980396158463385208e-09,-4.130740550199488658e-04,-7.569786498143138778e-05
2.000400160064025567e-09,-3.882073728479690840e-04,1.561441894212562288e-04
2.020404161664665926e-09,-3.815873256995037889e-04,3.114347912257357819e-04
2.040408163265305871e-09,-3.919723135355888564e-04,3.781269134018182699e-04
2.060412164865946230e-09,-4.171490234742496845e-04,3.497387506784865397e-04
2.080416166466586589e-09,-4.541071836028171753e-04,2.257853081568507794e-04
2.100420168067226948e-09,-4.992589207727208015e-04,1.182297289088592854e-05
2.120424169667867307e-09,-5.486880150608026236e-04,-2.808943440340759242e-04
2.140428171268507253e-09,-5.984127131685838558e-04,-6.361240837964039080e-04
2.160432172869147612e-09,-6.446451809828463364e-04,-1.033662328385417245e-03
2.180436174469787971e-09,-6.840311666570830828e-04,-1.450622791748068085e-03
2.200440176070427916e-09,-7.138549671915809343e-04,-1.862885049675625047e-03
