# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,7.155981312809000117e-04,1.691634436253221935e-04
2.000400160064025567e-11,4.124897969009161196e-04,-4.712179668018210668e-04
4.000800320128051133e-11,8.932831948928597501e-05,-1.033690942449077199e-03
6.001200480192076700e-11,-2.447731165767411490e-04,-1.487807026587287555e-03
8.001600640256102266e-11,-5.804719997747638917e-04,-1.808513939039427688e-03
1.000200080032012783e-10,-9.085323644232519728e-04,-1.977612973021893213e-03
1.200240096038415340e-10,-1.220149730853147116e-03,-1.984820005463483819e-03
1.400280112044817897e-10,-1.507252016135249544e-03,-1.828369216924890638e-03
1.600320128051220453e-10,-1.762764683810279882e-03,-1.515125835159928823e-03
1.800360144057623010e-10,-1.980830254287357060e-03,-1.060203286009048056e-03
2.000400160064025567e-10,-2.156974539028412487e-03,-4.861093194767670666e-04
2.200440176070428123e-10,-2.288214476059890947e-03,1.785267575409329012e-04
2.400480192076830680e-10,-2.373105107256876043e-03,9.005692965415937334e-04
2.600520208083233237e-10,-2.411725921876915930e-03,1.644237887694072761e-03
2.800560224089635793e-10,-2.405609372057274705e-03,2.373105400006365624e-03
3.000600240096038350e-10,-2.357616729820143867e-03,3.052115355499064424e-03
3.200640256102440907e-10,-2.271768501459763435e-03,3.649501278875724036e-03
3.400680272108843463e-10,-2.153038262708804711e-03,4.138497386752920150e-03
3.600720288115246020e-10,-2.007119967458572372e-03,4.498743209823717788e-03
3.800760304121648577e-10,-1.840179478617432092e-03,4.717303642695878235e-03
4.000800320128051133e-10,-1.658601261120984209e-03,4.789249320965281893e-03
4.200840336134453690e-10,-1.468740877394835885e-03,4.717768702935234114e-03
4.400880352140856247e-10,-1.276693170291588958e-03,4.513811179497433795e-03
4.600920368147258803e-10,-1.088084862854665118e-03,4.195288268375816504e-03
4.800960384153661360e-10,-9.078988194140042876e-04,3.785885811187605053e-03
5.001000400160063916e-10,-7.403354815601227842e-04,3.313562550729153618e-03
5.201040416166466473e-10,-5.887151058495707166e-04,2.808828204267668945e-03
5.401080432172869030e-10,-4.554224806814798944e-04,2.302906142637933980e-03
5.601120448179271586e-10,-3.418938787559795103e-04,1.825891364081740076e-03
5.801160464185674143e-10,-2.486441938644836161e-04,1.405013336843214658e-03
6.001200480192076700e-10,-1.753305916566174065e-04,1.063105601915483554e-03
6.201240496198479256e-10,-1.208476358782085714e-04,8.173702985858886418e-04
6.401280512204881813e-10,-8.344778179270468657e-05,6.785068831009992809e-04
6.601320528211284370e-10,-6.088038816951759269e-05,6.502514425845267723e-04
6.801360544217686926e-10,-5.054200262719580884e-05,7.293475812106699598e-04
7.001400560224089483e-10,-4.963062009115023208e-05,9.059434361728276562e-04
7.201440576230492040e-10,-5.529688317488316829e-05,1.164383577812573133e-03
7.401480592236894596e-10,-6.478575538063924830e-05,1.484340922004163564e-03
7.601520608243297153e-10,-7.556301084820693026e-05,1.842213749767212822e-03
7.801560624249699710e-10,-8.542189708460040524e-05,2.212697675940206599e-03
8.001600640256102266e-10,-9.256648310691599751e-05,2.570432822437245142e-03
8.201640656262504823e-10,-9.566944539128412455e-05,2.891623067081623959e-03
8.401680672268907380e-10,-9.390330870147777680e-05,3.155527209118054888e-03
8.601720688275309936e-10,-8.694539175781117028e-05,3.345730981250499576e-03
8.801760704281712493e-10,-7.495785732322100836e-05,3.451123437536200364e-03
9.001800720288115050e-10,-5.854528808876116922e-05,3.466520416405141549e-03
9.201840736294517606e-10,-3.869306757033112937e-05,3.392900305343903283e-03
9.401880752300919129e-10,-1.669051224646770392e-05,3.237241808258038700e-03
9.601920768307322720e-10,5.956839670235185887e-06,3.011978318501278961e-03
9.801960784313726310e-10,2.762113337362640496e-05,2.734107294363437649e-03
1.000200080032012783e-09,4.664761596353416860e-05,2.424014261874701988e-03
1.020204081632652936e-09,6.144705886602926201e-05,2.104088441414842664e-03
1.040208083233293295e-09,7.058102975845219318e-05,1.797219464077347371e-03
1.060212084833933654e-09,7.283637392455245959e-05,1.525271472934721685e-03
1.080216086434573806e-09,6.728590915950641781e-05,1.307631706364831715e-03
1.100220088035213958e-09,5.333307952247135034e-05,1.159925421493743355e-03
1.120224089635854317e-09,3.073911659432037837e-05,1.092978093505707609e-03
1.140228091236494676e-09,-3.679128754579226511e-07,1.112089926929944825e-03
1.160232092837134829e-09,-3.950197146923912535e-05,1.216667846748004664e-03
1.180236094437774981e-09,-8.584484388069939600e-05,1.400237548395526178e-03
1.200240096038415340e-09,-1.382871613908357941e-04,1.650834286174230475e-03
1.220244097639055699e-09,-1.954823440846584670e-04,1.951747353199180610e-03
1.240248099239695851e-09,-2.559106459237449186e-04,2.282571119466400480e-03
1.260252100840336004e-09,-3.179501193605321495e-04,2.620496407302351938e-03
1.280256102440976363e-09,-3.799510909254743521e-04,2.941761064328831093e-03
1.300260104041616722e-09,-4.403106622660838960e-04,3.223168750698800211e-03
1.320264105642256874e-09,-4.975438220395375991e-04,3.443580781156354784e-03
1.340268107242897026e-09,-5.503479670157222390e-04,3.585287593656927806e-03
