# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,-1.155455318728548222e-03,-5.246891100579392092e-03
2.000400160064025567e-11,-7.438649668648516415e-04,-4.769632150182665127e-03
4.000800320128051133e-11,-3.392187802392145632e-04,-4.112521669978887531e-03
6.001200480192076700e-11,4.606445879592339015e-05,-3.315721585785174046e-03
8.001600640256102266e-11,4.007195178239482815e-04,-2.426657481209326759e-03
1.000200080032012783e-10,7.150781359571030654e-04,-1.497163329721133349e-03
1.200240096038415340e-10,9.814212478419343747e-04,-5.804153990576264941e-04
1.400280112044817897e-10,1.194225155656152611e-03,2.721620280576510383e-04
1.600320128051220453e-10,1.350292905423393494e-03,1.013837300269333991e-03
1.800360144057623010e-10,1.448768541894879247e-03,1.605188182653109665e-03
2.000400160064025567e-10,1.491038269889912154e-03,2.016246084599967407e-03
2.200440176070428123e-10,1.480528480643304506e-03,2.228049109771257363e-03
2.400480192076830680e-10,1.422415784142139249e-03,2.233522028785339068e-03
2.600520208083233237e-10,1.323268349198240042e-03,2.037642370730696675e-03
2.800560224089635793e-10,1.190640785289576609e-03,1.656894791281741854e-03
3.000600240096038350e-10,1.032646374423071669e-03,1.118058112902317169e-03
3.200640256102440907e-10,8.575306307903746974e-04,4.564084301600778034e-04
3.400680272108843463e-10,6.732689677971207421e-04,-2.865448612506166812e-04
3.600720288115246020e-10,4.872088024051678514e-04,-1.065647251671520508e-03
3.800760304121648577e-10,3.057729121659286185e-04,-1.834851583511413640e-03
4.000800320128051133e-10,1.342365246303700783e-04,-2.549967611752703821e-03
4.200840336134453690e-10,-2.341425309751429725e-05,-3.171244360857280835e-03
4.400880352140856247e-10,-1.645401572559418771e-04,-3.665633689089106695e-03
4.600920368147258803e-10,-2.878251526639190121e-04,-4.008605104568112136e-03
4.800960384153661360e-10,-3.931786281523521774e-04,-4.185411009496231051e-03
5.001000400160063916e-10,-4.815745450769658435e-04,-4.191736320117083608e-03
5.201040416166466473e-10,-5.548418181605646159e-04,-4.033704643379897904e-03
5.401080432172869030e-10,-6.154223293882142044e-04,-3.727252528864645996e-03
5.601120448179271586e-10,-6.661139934479135298e-04,-3.296921361691335269e-03
5.801160464185674143e-10,-7.098161892835873343e-04,-2.774150933294378379e-03
6.001200480192076700e-10,-7.492936985548911749e-04,-2.195187582749578547e-03
6.201240496198479256e-10,-7.869731645664300923e-04,-1.598741369415913102e-03
6.401280512204881813e-10,-8.247831762967993644e-04,-1.023539809650374265e-03
6.601320528211284370e-10,-8.640456062812639339e-04,-5.059296097071041545e-04
6.801360544217686926e-10,-9.054220312958701031e-04,-7.767244351963202911e-05
7.001400560224089483e-10,-9.489151962052334204e-04,2.359333859999733236e-04
7.201440576230492040e-10,-9.939217947884861504e-04,4.174956125386227292e-04
7.401480592236894596e-10,-1.039329567567272121e-03,4.584536445828016273e-04
7.601520608243297153e-10,-1.083649052157378140e-03,3.594388202735898934e-04
7.801560624249699710e-10,-1.125168417240125871e-03,1.300564057170894576e-04
8.001600640256102266e-10,-1.162118763592172961e-03,-2.118877727708384892e-04
8.201640656262504823e-10,-1.192837122633904961e-03,-6.416593200760311536e-04
8.401680672268907380e-10,-1.215915102981613392e-03,-1.129279252662789956e-03
8.601720688275309936e-10,-1.230322650301139166e-03,-1.641509180329483964e-03
8.801760704281712493e-10,-1.235498567218479239e-03,-2.144009894186567778e-03
9.001800720288115050e-10,-1.231402119762146962e-03,-2.603536654064076382e-03
9.201840736294517606e-10,-1.218523038232370397e-03,-2.990034095390203903e-03
9.401880752300919129e-10,-1.197850292397156921e-03,-3.278501754295612153e-03
9.601920768307322720e-10,-1.170802972092830577e-03,-3.450517136189645666e-03
9.801960784313726310e-10,-1.139129236916834684e-03,-3.495325948867389690e-03
1.000200080032012783e-09,-1.104781441445213275e-03,-3.410437105285738131e-03
1.020204081632652936e-09,-1.069777061195841417e-03,-3.201691585452045349e-03
1.040208083233293295e-09,-1.036055850606385810e-03,-2.882807249717558515e-03
1.060212084833933654e-09,-1.005343719071790298e-03,-2.474434165797684358e-03
1.080216086434573806e-09,-9.790331278427780604e-04,-2.002784954806274050e-03
1.100220088035213958e-09,-9.580884524358105562e-04,-1.497930262259805417e-03
1.120224089635854317e-09,-9.429828299138267667e-04,-9.918691916480026297e-04
1.140228091236494676e-09,-9.336706623132351229e-04,-5.164972531042946692e-04
1.160232092837134829e-09,-9.295973471645762719e-04,-1.015993755533936820e-04
1.180236094437774981e-09,-9.297451382742219841e-04,2.270074115292046923e-04
1.200240096038415340e-09,-9.327114910173256706e-04,4.490676285660809004e-04
1.220244097639055699e-09,-9.368139915399834646e-04,5.511208626340997809e-04
1.240248099239695851e-09,-9.402141608622204428e-04,5.273019817777914280e-04
1.260252100840336004e-09,-9.410511824533911943e-04,3.796624387393376238e-04
1.280256102440976363e-09,-9.375760044342631473e-04,1.179971329730968368e-04
1.300260104041616722e-09,-9.282763487732635394e-04,-2.408079891373357052e-04
1.320264105642256874e-09,-9.119839061737930117e-04,-6.738629710497136271e-04
1.340268107242897026e-09,-8.879563475802811469e-04,-1.153724517066883736e-03
1.360272108843537385e-09,-8.559286409557033837e-04,-1.650117575391813396e-03
1.380276110444177744e-09,-8.161303908468172394e-04,-2.131819336785261212e-03
1.400280112044817897e-09,-7.692683594236597068e-04,-2.568588229144680782e-03
1.420284113645458049e-09,-7.164758088962473476e-04,-2.933018889694519789e-03
1.440288115246098408e-09,-6.592326526556404080e-04,-3.202209839423790158e-03
1.460292116846738767e-09,-5.992624526793890192e-04,-3.359143233396814227e-03
1.480296118447378919e-09,-5.384139116626483236e-04,-3.393694759564668591e-03
1.500300120048019072e-09,-4.785355690340142290e-04,-3.303215288714872293e-03
1.520304121648659431e-09,-4.213528480639794479e-04,-3.092652736546629665e-03
1.540308123249299790e-09,-3.683563875918696999e-04,-2.774211095115244191e-03
1.560312124849939942e-09,-3.207097426151402477e-04,-2.366571953253087182e-03
1.580316126450580094e-09,-2.791831132457590838e-04,-1.893730311102393565e-03
1.600320128051220453e-09,-2.441178613213866306e-04,-1.383519495679658281e-03
1.620324129651860812e-09,-2.154243312152495117e-04,-8.659181291134103106e-04
1.640328131252500965e-09,-1.926130629496720394e-04,-3.712443311332432874e-04
1.660332132853141117e-09,-1.748570415943632040e-04,7.165202801843307103e-05
1.680336134453781476e-09,-1.610803387129633533e-04,4.370894346835557946e-04
1.700340136054421835e-09,-1.500665307661248405e-04,7.040455367940801458e-04
1.720344137655061987e-09,-1.405787661572429357e-04,8.573510415090706063e-04
1.740348139255702140e-09,-1.314824064593153553e-04,8.885183439743566270e-04
1.760352140856342499e-09,-1.218608593055898890e-04,7.961597058135101278e-04
1.780356142456982858e-09,-1.111155780273353019e-04,5.859754407414646728e-04
1.800360144057623010e-09,-9.904220836466718627e-05,2.703190515023276151e-04
1.820364145658263162e-09,-8.587645279637716391e-05,-1.326280451120998244e-04
1.840368147258903521e-09,-7.230529485199737076e-05,-6.000162420394664683e-04
1.860372148859543880e-09,-5.944164177180562259e-05,-1.105746396340265844e-03
1.880376150460183826e-09,-4.876304163353468047e-05,-1.622057265685223054e-03
1.900380152060824185e-09,-4.201773384908826203e-05,-2.121182706178176801e-03
1.920384153661464544e-09,-4.110372051870776983e-05,-2.576976962425734513e-03
1.940388155262104903e-09,-4.792863079548484895e-05,-2.966410030369511213e-03
1.960392156862745262e-09,-6.425974244301916900e-05,-3.270844703653260840e-03
1.980396158463385208e-09,-9.157450663757552153e-05,-3.477021841392166288e-03
2.000400160064025567e-09,-1.309222156444707092e-04,-3.577699616064999085e-03
2.020404161664665926e-09,-1.828070252275829620e-04,-3.571914759087779431e-03
2.040408163265305871e-09,-2.471014092855960335e-04,-3.464857691420464725e-03
2.060412164865946230e-09,-3.229973454336463657e-04,-3.267377400178290373e-03
2.080416166466586589e-09,-4.090002131656646656e-04,-2.995154507395173058e-03
2.100420168067226948e-09,-5.029676744221732703e-04,-2.667600789297622926e-03
2.120424169667867307e-09,-6.021928719482485051e-04,-2.306559251909312547e-03
2.140428171268507253e-09,-7.035283134425681555e-04,-1.934889824353965265e-03
2.160432172869147612e-09,-8.035440042489933044e-04,-1.575031186776802532e-03
2.180436174469787971e-09,-8.987109360132773499e-04,-1.247628950166755147e-03
2.200440176070427916e-09,-9.855991014624180917e-04,-9.703144595264699430e-04
2.220444177671068276e-09,-1.061077923547062724e-03,-7.567073613309736229e-04
2.240448179271708635e-09,-1.122506457698201499e-03,-6.156995414773788191e-04
2.260452180872348994e-09,-1.167900998912950548e-03,-5.510591470981958308e-04
2.280456182472989353e-09,-1.196068799874179913e-03,-5.613723972941984941e-04
2.300460184073629298e-09,-1.206698429789931915e-03,-6.403191223605384560e-04
2.320464185674269657e-09,-1.200399774617186364e-03,-7.772568354399672468e-04
2.340468187274910016e-09,-1.178689653178201756e-03,-9.580689626451893270e-04
2.360472188875549962e-09,-1.143922321264603369e-03,-1.166216823334851552e-03
2.380476190476190321e-09,-1.099167554493339118e-03,-1.383923032016830604e-03
2.400480192076830680e-09,-1.048042326803495404e-03,-1.593406884089362385e-03
2.420484193677471039e-09,-9.945051238878291604e-04,-1.778090371650484008e-03
2.440488195278111398e-09,-9.426244542199334548e-04,-1.923696800459764574e-03
2.460492196878751344e-09,-8.963349777578907525e-04,-2.019172258652509200e-03
2.480496198479391703e-09,-8.591957362692286253e-04,-2.057372824270578028e-03
2.500500200080032062e-09,-8.341651597454016872e-04,-2.035476524461419211e-03
2.520504201680672007e-09,-8.234068141997963938e-04,-1.955097595042279597e-03
2.540508203281312366e-09,-8.281382766375927889e-04,-1.822100315175285718e-03
2.560512204881952725e-09,-8.485331570611278316e-04,-1.646129326896651757e-03
2.580516206482593084e-09,-8.836832688768195884e-04,-1.439891632775722229e-03
