# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,-5.384197688110717132e-04,1.998297182092666907e-03
2.000285795941697536e-11,-1.461832330277116352e-04,2.367849685241712326e-03
4.000571591883395072e-11,2.345552715506701673e-04,2.631587119732504629e-03
6.000857387825092932e-11,5.914411547410958637e-04,2.776987538958888661e-03
8.001143183766790145e-11,9.131373512568044136e-04,2.797065200956498892e-03
1.000142897970848736e-10,1.189790789807867793e-03,2.690794642023905218e-03
1.200171477565018586e-10,1.413428115206745612e-03,2.463229027426626881e-03
1.400200057159188178e-10,1.578262381350132660e-03,2.125302546764633489e-03
1.600228636753358029e-10,1.680896985857555396e-03,1.693323658968222921e-03
1.800257216347527880e-10,1.720418331898722298e-03,1.188182848031031549e-03
2.000285795941697472e-10,1.698374302204219439e-03,6.343142867433351024e-04
2.200314375535867322e-10,1.618641319298933304e-03,5.846453671880844327e-05
2.400342955130037173e-10,1.487188247520398023e-03,-5.116676421729294622e-04
2.600371534724207023e-10,1.311750383284601956e-03,-1.048848773279668174e-03
2.800400114318376357e-10,1.101431026319685952e-03,-1.527710173663361952e-03
3.000428693912546207e-10,8.662514146013188367e-04,-1.926054667527902272e-03
3.200457273506716058e-10,6.166719812067434107e-04,-2.226000216603264519e-03
3.400485853100885908e-10,3.631088551627276932e-04,-2.414898603049366911e-03
3.600514432695055759e-10,1.154692491494132607e-04,-2.485979162265702317e-03
3.800543012289225093e-10,-1.172721103313055589e-04,-2.438682229167897075e-03
4.000571591883394943e-10,-3.274359512956664248e-04,-2.278663635910798194e-03
4.200600171477564794e-10,-5.089248138490729944e-04,-2.017469369280256147e-03
4.400628751071734644e-10,-6.574210862975105258e-04,-1.671897384015542335e-03
4.600657330665904495e-10,-7.704898158007676126e-04,-1.263080585168680414e-03
4.800685910260074345e-10,-8.475844408247066751e-04,-8.153401938376059156e-04
5.000714489854243679e-10,-8.899586167448854607e-04,-3.548712496140411180e-04
5.200743069448414046e-10,-9.004920378284083987e-04,9.166882100820940575e-05
5.400771649042583380e-10,-8.834423543270569692e-04,4.985923435068687418e-04
5.600800228636752714e-10,-8.441387321804170183e-04,8.425568958183556403e-04
5.800828808230923081e-10,-7.886351390545973594e-04,1.103809952187618550e-03
6.000857387825092415e-10,-7.233429510668353945e-04,1.267235656785528760e-03
6.200885967419262782e-10,-6.546629043627087176e-04,1.323147598572711791e-03
6.400914547013432116e-10,-5.886357692151353857e-04,1.267785421771944632e-03
6.600943126607601449e-10,-5.306294642223915569e-04,1.103489372259112240e-03
6.800971706201771817e-10,-4.850777707807763265e-04,8.385445457167160516e-04
7.001000285795941150e-10,-4.552825156206452431e-04,4.867046870527459886e-04
7.201028865390111518e-10,-4.432872602653123396e-04,6.642288811462563258e-05
7.401057444984280852e-10,-4.498263936392522290e-04,-4.001675284279138860e-04
7.601086024578450185e-10,-4.743493021182110855e-04,-8.884651492416409217e-04
7.801114604172620553e-10,-5.151152228378326221e-04,-1.372738526100419822e-03
8.001143183766789886e-10,-5.693506893388191421e-04,-1.827516468173880689e-03
8.201171763360960254e-10,-6.334583456727273590e-04,-2.228954422556313295e-03
8.401200342955129587e-10,-7.032634917060351333e-04,-2.556102549820460628e-03
8.601228922549298921e-10,-7.742831402748237253e-04,-2.792006966284691239e-03
8.801257502143469288e-10,-8.420016785995818997e-04,-2.924585254871583419e-03
9.001286081737638622e-10,-9.021374430486961589e-04,-2.947230187276546169e-03
9.201314661331808990e-10,-9.508855982315435676e-04,-2.859110918887890034e-03
9.401343240925978323e-10,-9.851245715267640483e-04,-2.665157845582604400e-03
9.601371820520148691e-10,-1.002575804353247543e-03,-2.375734892699069185e-03
9.801400400114316990e-10,-1.001909580720942083e-03,-2.006020253507289665e-03
1.000142897970848736e-09,-9.827929978555862648e-04,-1.575132543564269471e-03
1.020145755930265773e-09,-9.458795570307661866e-04,-1.105053102972090428e-03
1.040148613889682809e-09,-8.927431786926566873e-04,-6.194060033971075449e-04
1.060151471849099639e-09,-8.257624987039688131e-04,-1.421646138399098268e-04
1.080154329808516676e-09,-7.479639171810441474e-04,3.036430354941629809e-04
1.100157187767933713e-09,-6.628339128530887341e-04,6.971585387914009486e-04
1.120160045727350543e-09,-5.741125057452999090e-04,1.020780185550726254e-03
1.140162903686767579e-09,-4.855803922449495160e-04,1.261054345434678209e-03
1.160165761646184616e-09,-4.008521757336010551e-04,1.409324288224723378e-03
1.180168619605601446e-09,-3.231873025600161655e-04,1.462103670141989831e-03
1.200171477565018483e-09,-2.553288570297751426e-04,1.421157725491727390e-03
1.220174335524435520e-09,-1.993783752621124822e-04,1.293291798083521377e-03
1.240177193483852556e-09,-1.567124392611921578e-04,1.089863283009475823e-03
1.260180051443269386e-09,-1.279441620254059299e-04,8.260483960066078392e-04
1.280182909402686423e-09,-1.129299348269393173e-04,5.199085847375279528e-04
1.300185767362103460e-09,-1.108191422168238317e-04,1.913121026025140642e-04
1.320188625321520290e-09,-1.201421130081398495e-04,-1.392262998857070311e-04
1.340191483280937327e-09,-1.389295027192637166e-04,-4.517208373318919927e-04
1.360194341240354363e-09,-1.648547055593624854e-04,-7.278386390500296566e-04
1.380197199199771400e-09,-1.953898515892835694e-04,-9.519093732548422051e-04
1.400200057159188230e-09,-2.279655016503132796e-04,-1.111765115215707219e-03
1.420202915118605267e-09,-2.601243166562890586e-04,-1.199365477507585535e-03
1.440205773078022304e-09,-2.896597202119203206e-04,-1.211175902565942005e-03
1.460208631037439134e-09,-3.147318319019007252e-04,-1.148281566488972829e-03
1.480211488996856170e-09,-3.339546315377279508e-04,-1.016234703983770775e-03
1.500214346956273207e-09,-3.464503077826871320e-04,-8.246484454225571107e-04
1.520217204915690037e-09,-3.518689180126751814e-04,-5.865645803324535642e-04
1.540220062875107074e-09,-3.503737027588183840e-04,-3.176352143814089235e-04
1.560222920834524111e-09,-3.425945213986239220e-04,-3.516836747550722379e-05
1.580225778793941147e-09,-3.295537788825657105e-04,2.429053817170424346e-04
1.600228636753357977e-09,-3.125707857711247325e-04,4.990844340229908405e-04
1.620231494712775014e-09,-2.931516481469590763e-04,7.173050152394139017e-04
1.640234352672192051e-09,-2.728724601111994245e-04,8.838498691043002739e-04
1.660237210631608881e-09,-2.532637402448406215e-04,9.881060303631359308e-04
1.680240068591025917e-09,-2.357037170044092445e-04,1.023130447577298490e-03
1.700242926550442954e-09,-2.213272598012388213e-04,9.859940149066644642e-04
1.720245784509859784e-09,-2.109560339741329866e-04,8.778878979490603151e-04
1.740248642469276821e-09,-2.050539143930042024e-04,7.039901036844053951e-04
1.760251500428693858e-09,-2.037099276355980261e-04,4.731042181672625376e-04
1.780254358388110894e-09,-2.066491217327564363e-04,1.970953030291997920e-04
1.800257216347527724e-09,-2.132699048731650658e-04,-1.098406484587352409e-04
1.820260074306944761e-09,-2.227046666497727663e-04,-4.320281879487319269e-04
1.840262932266361798e-09,-2.338990037742748427e-04,-7.532330105434583215e-04
1.860265790225778628e-09,-2.457037066296274266e-04,-1.057596696433755340e-03
1.880268648185195665e-09,-2.569728918851038623e-04,-1.330530725079187137e-03
1.900271506144612495e-09,-2.666613325152446820e-04,-1.559518223183122779e-03
1.920274364104029738e-09,-2.739141551082953960e-04,-1.734778220777067823e-03
1.940277222063446568e-09,-2.781426322798701109e-04,-1.849756068940685552e-03
1.960280080022863398e-09,-2.790807552730214971e-04,-1.901414556753493060e-03
1.980282937982280642e-09,-2.768185641732543020e-04,-1.890312481470827078e-03
2.000285795941697472e-09,-2.718097563744146790e-04,-1.820470232071551026e-03
2.020288653901114715e-09,-2.648527891863274985e-04,-1.699034574501507005e-03
2.040291511860531545e-09,-2.570464325641083712e-04,-1.535766530149653168e-03
2.060294369819948375e-09,-2.497224038645673504e-04,-1.342386335242826438e-03
2.080297227779365619e-09,-2.443592241564361794e-04,-1.131817380539235345e-03
2.100300085738782449e-09,-2.424826819175990755e-04,-9.173763183761596577e-04
2.120302943698199279e-09,-2.455591985902110192e-04,-7.119589105784534079e-04
2.140305801657616522e-09,-2.548889062079109469e-04,-5.272705757040135801e-04
2.160308659617033352e-09,-2.715053392102130970e-04,-3.731470580795143935e-04
2.180311517576450182e-09,-2.960883056169864858e-04,-2.570044383067093081e-04
2.200314375535867426e-09,-3.288957579925655796e-04,-1.834492460047667129e-04
2.220317233495284255e-09,-3.697193777137501580e-04,-1.540692609574747639e-04
2.240320091454701085e-09,-4.178671842742856524e-04,-1.674143348161207987e-04
2.260322949414118329e-09,-4.721748695203279280e-04,-2.191649247342146759e-04
2.280325807373535159e-09,-5.310458319575438266e-04,-3.024747094786058607e-04
2.300328665332951989e-09,-5.925181522077911786e-04,-4.084633356846840112e-04
2.320331523292369232e-09,-6.543551112056636204e-04,-5.268266257955082823e-04
2.340334381251786062e-09,-7.141544058085253941e-04,-6.465249735348854027e-04
2.360337239211202892e-09,-7.694700484977855031e-04,-7.565065269456584373e-04
2.380340097170620136e-09,-8.179401184425338488e-04,-8.464203275503299215e-04
2.400342955130036966e-09,-8.574131093537217278e-04,-9.072758854851770745e-04
2.420345813089454209e-09,-8.860656207865229977e-04,-9.320096059701554834e-04
2.440348671048871039e-09,-9.025045645148528769e-04,-9.159247659119646367e-04
2.460351529008287869e-09,-9.058478822044247359e-04,-8.569799554520457236e-04
2.480354386967705113e-09,-8.957789475063983884e-04,-7.559105204033077317e-04
2.500357244927121943e-09,-8.725712871536843397e-04,-6.161779616650947576e-04
