# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,-1.668388088501631186e-03,-4.941043423244997857e-04
2.000285795941697536e-11,-1.651683737848397109e-03,-5.418888509720554353e-04
4.000571591883395072e-11,-1.601695842219400543e-03,-5.913108804807939078e-04
6.000857387825092932e-11,-1.520664490752985688e-03,-6.448597346522959338e-04
8.001143183766790145e-11,-1.412142721948834176e-03,-7.046959214023516349e-04
1.000142897970848736e-10,-1.280813688378353238e-03,-7.724540005209702036e-04
1.200171477565018586e-10,-1.132248443632335490e-03,-8.490778129190819324e-04
1.400200057159188178e-10,-9.726176451113336579e-04,-9.346983299498618945e-04
1.600228636753358029e-10,-8.083731227642074711e-04,-1.028561842696901511e-03
1.800257216347527880e-10,-6.459170153128102401e-04,-1.129013276415868168e-03
2.000285795941697472e-10,-4.912769137679981338e-04,-1.233536235105846821e-03
2.200314375535867322e-10,-3.498051279370778858e-04,-1.338848136307265076e-03
2.400342955130037173e-10,-2.259188182383426965e-04,-1.441045667557446126e-03
2.600371534724207023e-10,-1.228953875751978553e-04,-1.535792954395365489e-03
2.800400114318376357e-10,-4.273433938445305065e-05,-1.618542427215032388e-03
3.000428693912546207e-10,1.390703814723374848e-05,-1.684776535514284418e-03
3.200457273506716058e-10,4.770108182110144464e-05,-1.730257275049651476e-03
3.400485853100885908e-10,6.056164104028239855e-05,-1.751270020834182336e-03
3.600514432695055759e-10,5.548621232851114773e-05,-1.744848412444454256e-03
3.800543012289225093e-10,3.633813734700268457e-05,-1.708967994474431228e-03
4.000571591883394943e-10,7.582151177263229296e-06,-1.642697914284566279e-03
4.200600171477564794e-10,-2.601074599918838727e-05,-1.546302129043126061e-03
4.400628751071734644e-10,-5.967137863505677812e-05,-1.421284155249144575e-03
4.600657330665904495e-10,-8.893503878278603901e-05,-1.270372267396187738e-03
4.800685910260074345e-10,-1.099206727010684922e-04,-1.097445066957203515e-03
5.000714489854243679e-10,-1.195700691845931083e-04,-9.074003431211534985e-04
5.200743069448414046e-10,-1.158329580292568218e-04,-7.059729812869512417e-04
5.400771649042583380e-10,-9.778721466366404572e-05,-4.995102042350205987e-04
5.600800228636752714e-10,-6.568729610806324992e-05,-2.947145322860640322e-04
5.800828808230923081e-10,-2.093836949352366659e-05,-9.836642440964565143e-05
6.000857387825092415e-10,3.400192198273888208e-05,8.296045819837819749e-05
6.200885967419262782e-10,9.578774820690517413e-05,2.431780809256737499e-04
6.400914547013432116e-10,1.604051491665800413e-04,3.769439722925831148e-04
6.600943126607601449e-10,2.234342147147823875e-04,4.798902051907264583e-04
6.800971706201771817e-10,2.803372079339591910e-04,5.488108501387402739e-04
7.001000285795941150e-10,3.267548954137855532e-04,5.817993086057617448e-04
7.201028865390111518e-10,3.587928606777996765e-04,5.783293053134084920e-04
7.401057444984280852e-10,3.732801899618083045e-04,5.392759625881796050e-04
7.601086024578450185e-10,3.679845958782574549e-04,4.668761696410666227e-04
7.801114604172620553e-10,3.417706833857812616e-04,3.646302626818644435e-04
8.001143183766789886e-10,2.946915050084039384e-04,2.371497170200985438e-04
8.201171763360960254e-10,2.280075909517889014e-04,8.995799604580751200e-05
8.401200342955129587e-10,1.441320311367543839e-04,-7.074620672239112084e-05
8.601228922549298921e-10,4.650466536235295606e-05,-2.383524508993697868e-04
8.801257502143469288e-10,-6.059726536332226115e-05,-4.061167485433702859e-04
9.001286081737638622e-10,-1.723007980115143320e-04,-5.674419079368377096e-04
9.201314661331808990e-10,-2.834168677021148969e-04,-7.161474745484164989e-04
9.401343240925978323e-10,-3.887411638987163867e-04,-8.467173270748357258e-04
9.601371820520148691e-10,-4.833582074825611640e-04,-9.545141403462931292e-04
9.801400400114316990e-10,-5.629304072639438206e-04,-1.035951572293046085e-03
1.000142897970848736e-09,-6.239547252847291083e-04,-1.088617089654261069e-03
1.020145755930265773e-09,-6.639714951261205126e-04,-1.111340718462864230e-03
1.040148613889682809e-09,-6.817127803840402744e-04,-1.104207578056030405e-03
1.060151471849099639e-09,-6.771812596777084881e-04,-1.068514709650312481e-03
1.080154329808516676e-09,-6.516547627966782445e-04,-1.006675316815917095e-03
1.100157187767933713e-09,-6.076160104798049083e-04,-9.220759718536633651e-04
1.120160045727350543e-09,-5.486115614482607768e-04,-8.188944931311336077e-04
1.140162903686767579e-09,-4.790481774060715344e-04,-7.018879609850398049e-04
1.160165761646184616e-09,-4.039385278063484393e-04,-5.761616290193287589e-04
