# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,-1.940346512440009608e-03,-1.940346512440009608e-03
2.000400160064025567e-11,-2.001975239901543097e-03,-2.001975239901543097e-03
4.000800320128051133e-11,-2.040712190397122195e-03,-2.040712190397122195e-03
6.001200480192076700e-11,-2.059589134791696158e-03,-2.059589134791696158e-03
8.001600640256102266e-11,-2.062289041582203962e-03,-2.062289041582203962e-03
1.000200080032012783e-10,-2.052797285199535297e-03,-2.052797285199535297e-03
1.200240096038415340e-10,-2.035049965346953996e-03,-2.035049965346953996e-03
1.400280112044817897e-10,-2.012604733750721509e-03,-2.012604733750721509e-03
1.600320128051220453e-10,-1.988357563739893367e-03,-1.988357563739893367e-03
1.800360144057623010e-10,-1.964325339847302482e-03,-1.964325339847302482e-03
2.000400160064025567e-10,-1.941509235942468371e-03,-1.941509235942468371e-03
2.200440176070428123e-10,-1.919847928628734806e-03,-1.919847928628734806e-03
2.400480192076830680e-10,-1.898263163266783850e-03,-1.898263163266783850e-03
2.600520208083233237e-10,-1.874793499737764657e-03,-1.874793499737764657e-03
2.800560224089635793e-10,-1.846805672101535858e-03,-1.846805672101535858e-03
3.000600240096038350e-10,-1.811267339681771511e-03,-1.811267339681771511e-03
3.200640256102440907e-10,-1.765060477302849958e-03,-1.765060477302849958e-03
3.400680272108843463e-10,-1.705311565017895688e-03,-1.705311565017895688e-03
3.600720288115246020e-10,-1.629713311986676592e-03,-1.629713311986676592e-03
3.800760304121648577e-10,-1.536812992968903746e-03,-1.536812992968903746e-03
4.000800320128051133e-10,-1.426244577648443524e-03,-1.426244577648443524e-03
4.200840336134453690e-10,-1.298885561884396923e-03,-1.298885561884396923e-03
4.400880352140856247e-10,-1.156924523882722072e-03,-1.156924523882722072e-03
4.600920368147258803e-10,-1.003831589203970070e-03,-1.003831589203970070e-03
4.800960384153661360e-10,-8.442307845166264254e-04,-8.442307845166264254e-04
5.001000400160063916e-10,-6.836802321227975323e-04,-6.836802321227975323e-04
5.201040416166466473e-10,-5.283728099048176250e-04,-5.283728099048176250e-04
5.401080432172869030e-10,-3.847758138480649641e-04,-3.847758138480649641e-04
5.601120448179271586e-10,-2.592328980326276725e-04,-2.592328980326276725e-04
5.801160464185674143e-10,-1.575547894520771316e-04,-1.575547894520771316e-04
6.001200480192076700e-10,-8.462673940953170291e-05,-8.462673940953170291e-05
6.201240496198479256e-10,-4.406025179334605588e-05,-4.406025179334605588e-05
6.401280512204881813e-10,-3.791431835039487698e-05,-3.791431835039487698e-05
6.601320528211284370e-10,-6.650731590744831799e-05,-6.650731590744831799e-05
6.801360544217686926e-10,-1.283351240653127754e-04,-1.283351240653127754e-04
7.001400560224089483e-10,-2.201042533156639556e-04,-2.201042533156639556e-04
7.201440576230492040e-10,-3.368812655310928568e-04,-3.368812655310928568e-04
7.401480592236894596e-10,-4.723520101888089911e-04,-4.723520101888089911e-04
7.601520608243297153e-10,-6.191767038794960664e-04,-6.191767038794960664e-04
7.801560624249699710e-10,-7.694201519929161261e-04,-7.694201519929161261e-04
8.001600640256102266e-10,-9.150309118969668452e-04,-9.150309118969668452e-04
8.201640656262504823e-10,-1.048339314892421294e-03,-1.048339314892421294e-03
8.401680672268907380e-10,-1.162542288053417623e-03,-1.162542288053417623e-03
8.601720688275309936e-10,-1.252143014457412313e-03,-1.252143014457412313e-03
8.801760704281712493e-10,-1.313315675521773730e-03,-1.313315675521773730e-03
9.001800720288115050e-10,-1.344169728655037008e-03,-1.344169728655037008e-03
9.201840736294517606e-10,-1.344894150466061609e-03,-1.344894150466061609e-03
9.401880752300919129e-10,-1.317769463788695918e-03,-1.317769463788695918e-03
9.601920768307322720e-10,-1.267043710683962883e-03,-1.267043710683962883e-03
9.801960784313726310e-10,-1.198677307818001763e-03,-1.198677307818001763e-03
1.000200080032012783e-09,-1.119970362183014562e-03,-1.119970362183014562e-03
1.020204081632652936e-09,-1.039093969502205344e-03,-1.039093969502205344e-03
1.040208083233293295e-09,-9.645537353882381983e-04,-9.645537353882381983e-04
1.060212084833933654e-09,-9.046187908336119667e-04,-9.046187908336119667e-04
1.080216086434573806e-09,-8.667525601008325064e-04,-8.667525601008325064e-04
1.100220088035213958e-09,-8.570822473018088099e-04,-8.570822473018088099e-04
1.120224089635854317e-09,-8.799423473606214803e-04,-8.799423473606214803e-04
1.140228091236494676e-09,-9.375235179426155566e-04,-9.375235179426155566e-04
1.160232092837134829e-09,-1.029652081107615023e-03,-1.029652081107615023e-03
1.180236094437774981e-09,-1.153717605204757253e-03,-1.153717605204757253e-03
1.200240096038415340e-09,-1.304756915627810782e-03,-1.304756915627810782e-03
1.220244097639055699e-09,-1.475693054825238243e-03,-1.475693054825238243e-03
1.240248099239695851e-09,-1.657717771132654217e-03,-1.657717771132654217e-03
1.260252100840336004e-09,-1.840796694501560873e-03,-1.840796694501560873e-03
1.280256102440976363e-09,-2.014268065142159076e-03,-2.014268065142159076e-03
1.300260104041616722e-09,-2.167499267588187100e-03,-2.167499267588187100e-03
1.320264105642256874e-09,-2.290560939922695743e-03,-2.290560939922695743e-03
1.340268107242897026e-09,-2.374876400851431632e-03,-2.374876400851431632e-03
1.360272108843537385e-09,-2.413804741082337720e-03,-2.413804741082337720e-03
1.380276110444177744e-09,-2.403119171764053937e-03,-2.403119171764053937e-03
1.400280112044817897e-09,-2.341347956494413754e-03,-2.341347956494413754e-03
1.420284113645458049e-09,-2.229953159938520991e-03,-2.229953159938520991e-03
1.440288115246098408e-09,-2.073332068367482461e-03,-2.073332068367482461e-03
1.460292116846738767e-09,-1.878636902652918491e-03,-1.878636902652918491e-03
1.480296118447378919e-09,-1.655419698090932704e-03,-1.655419698090932704e-03
1.500300120048019072e-09,-1.415120271857354083e-03,-1.415120271857354083e-03
1.520304121648659431e-09,-1.170425343265625671e-03,-1.170425343265625671e-03
1.540308123249299790e-09,-9.345354646149304145e-04,-9.345354646149304145e-04
1.560312124849939942e-09,-7.203828979122515932e-04,-7.203828979122515932e-04
1.580316126450580094e-09,-5.398474946547175603e-04,-5.398474946547175603e-04
1.600320128051220453e-09,-4.030187139308953549e-04,-4.030187139308953549e-04
1.620324129651860812e-09,-3.175500326103772829e-04,-3.175500326103772829e-04
1.640328131252500965e-09,-2.881472268460882370e-04,-2.881472268460882370e-04
1.660332132853141117e-09,-3.162245837567790132e-04,-3.162245837567790132e-04
