# Time (s),DUT (V),TEM (V)
0.000000000000000000e+00,-2.708372945602770037e-04,2.513254706654698654e-03
2.000400160064025567e-11,-2.950796085321653710e-04,2.116684615841439663e-03
4.000800320128051133e-11,-3.321066313609159488e-04,1.748450885148826982e-03
6.001200480192076700e-11,-3.805413146506890498e-04,1.420540577216970702e-03
8.001600640256102266e-11,-4.383279391208220349e-04,1.142677465071229503e-03
1.000200080032012783e-10,-5.028604078019940438e-04,9.219758716551915015e-04
1.200240096038415340e-10,-5.711439573135938244e-04,7.627276575733275398e-04
1.400280112044817897e-10,-6.399802259588347137e-04,6.663301366882061353e-04
1.600320128051220453e-10,-7.061641677638818984e-04,6.313554341935518829e-04
1.800360144057623010e-10,-7.666805583815612017e-04,6.537545704357177476e-04
2.000400160064025567e-10,-8.188878500269043551e-04,7.271827399462038556e-04
2.200440176070428123e-10,-8.606779001562946769e-04,8.434262198148784152e-04
2.400480192076830680e-10,-8.906015778001596939e-04,9.929064029088714109e-04
2.600520208083233237e-10,-9.079523537402276042e-04,1.165232867556617244e-03
2.800560224089635793e-10,-9.128025788581857697e-04,1.349775349798683832e-03
3.000600240096038350e-10,-9.059900907466537532e-04,1.536224076273772767e-03
3.200640256102440907e-10,-8.890558824298451556e-04,1.715109154444201603e-03
3.400680272108843463e-10,-8.641366286823573073e-04,1.878252520998952490e-03
3.600720288115246020e-10,-8.338187060010246281e-04,2.019130152005606076e-03
3.800760304121648577e-10,-8.009627855604074202e-04,2.133127596511124203e-03
4.000800320128051133e-10,-7.685099718523990230e-04,2.217678103015630585e-03
4.200840336134453690e-10,-7.392816836161065922e-04,2.272279314381455209e-03
4.400880352140856247e-10,-7.157859490725633012e-04,2.298391334501778595e-03
4.600920368147258803e-10,-7.000424809008930042e-04,2.299225538234941652e-03
4.800960384153661360e-10,-6.934378221366642838e-04,2.279439440521001479e-03
5.001000400160063916e-10,-6.966200736860562884e-04,2.244757934504459061e-03
5.201040416166466473e-10,-7.094403324735565905e-04,2.201544980895446622e-03
5.401080432172869030e-10,-7.309451287967780276e-04,2.156352181557691025e-03
5.601120448179271586e-10,-7.594210235226282139e-04,2.115471481133215145e-03
5.801160464185674143e-10,-7.924893001310348876e-04,2.084518481342115953e-03
6.001200480192076700e-10,-8.272455601446493043e-04,2.068070582907182136e-03
6.201240496198479256e-10,-8.604361951001851527e-04,2.069380535036359839e-03
6.401280512204881813e-10,-8.886613392048149608e-04,2.090181194246293513e-03
6.601320528211284370e-10,-9.085921520759310081e-04,2.130591659135402331e-03
6.801360544217686926e-10,-9.171892518658038241e-04,2.189128788802249467e-03
7.001400560224089483e-10,-9.119088835455181185e-04,2.262821791033878087e-03
7.201440576230492040e-10,-8.908839852954414558e-04,2.347421450110485051e-03
7.401480592236894596e-10,-8.530686787138664793e-04,2.437690006650266878e-03
7.601520608243297153e-10,-7.983367790972129268e-04,2.527753022184617629e-03
7.801560624249699710e-10,-7.275275802753212312e-04,2.611491024940171529e-03
8.001600640256102266e-10,-6.424352581088684910e-04,2.682946538307480044e-03
8.201640656262504823e-10,-5.457415745574643005e-04,2.736721358130512777e-03
8.401680672268907380e-10,-4.408949510188571951e-04,2.768339701940398905e-03
8.601720688275309936e-10,-3.319422122136887342e-04,2.774555048039611081e-03
8.801760704281712493e-10,-2.233221852527709692e-04,2.753581976752486789e-03
9.001800720288115050e-10,-1.196326976760592138e-04,2.705238906862956691e-03
