# Time (s), DUT (V)
0.000000000000000000e+00,5.966886132293440330e-03
2.000400160064030090e-11,5.980232145504599944e-03
4.000800320128049841e-11,5.858949118725280056e-03
6.001200480192080577e-11,5.607711074467129977e-03
8.001600640256099681e-11,5.238467846093350019e-03
1.000200080032009940e-10,4.769868172141550171e-03
1.200240096038419993e-10,4.226296308571140040e-03
1.400280112044819965e-10,3.636572965902109839e-03
1.600320128051219936e-10,3.032391127634129994e-03
1.800360144057619908e-10,2.446573140604149914e-03
2.000400160064029961e-10,1.911246441876589914e-03
2.200440176070429933e-10,1.456040734654060051e-03
2.400480192076830163e-10,1.106408999131250088e-03
2.600520208083230135e-10,8.821684158204799514e-04
2.800560224089639929e-10,7.963454221194060049e-04
3.000600240096039901e-10,8.543923750709150151e-04
3.200640256102439873e-10,1.053822597352019894e-03
3.400680272108839844e-10,1.384287114025150103e-03
3.600720288115250156e-10,1.828091483303989932e-03
3.800760304121650128e-10,2.361126210223960051e-03
4.000800320128050099e-10,2.954160736214720209e-03
4.200840336134450071e-10,3.574430269797380152e-03
4.400880352140859865e-10,4.187427955512229745e-03
4.600920368147259837e-10,4.758803035184169632e-03
4.800960384153660326e-10,5.256259420323080266e-03
5.001000400160059781e-10,5.651348827320559765e-03
5.201040416166469575e-10,5.921058346299160231e-03
5.401080432172870064e-10,6.049103694221850264e-03
5.601120448179269519e-10,6.026855793722999885e-03
5.801160464185670007e-10,5.853848784973249633e-03
6.001200480192079802e-10,5.537840951480060142e-03
6.201240496198480290e-10,5.094424990313479833e-03
6.401280512204879745e-10,4.546209165213559687e-03
6.601320528211280234e-10,3.921614723978389741e-03
6.801360544217690028e-10,3.253368919734659932e-03
7.001400560224089483e-10,2.576113697849389921e-03
7.201440576230489972e-10,1.927486108578569919e-03
7.401480592236899766e-10,1.340649916183979991e-03
7.601520608243300255e-10,8.470846856117559632e-04
7.801560624249699710e-10,4.741095759941320125e-04
8.001600640256100198e-10,2.419543690522179928e-04
8.201640656262509993e-10,1.639550864855240085e-04
8.401680672268910482e-10,2.453659984599910028e-04
8.601720688275309936e-10,4.832695948121809928e-04
8.801760704281710425e-10,8.667402045102299982e-04
9.001800720288120220e-10,1.377462449176250102e-03
9.201840736294519674e-10,1.990737696274559945e-03
9.401880752300919129e-10,2.676820093479140121e-03
9.601920768307320652e-10,3.402506295539590216e-03
9.801960784313730446e-10,4.132889942051129646e-03
1.000200080032010095e-09,4.833183993048239570e-03
1.020204081632650040e-09,5.470511566058860325e-03
1.040208083233289986e-09,6.015569013893059570e-03
1.060212084833929931e-09,6.444073391005679906e-03
1.080216086434570084e-09,6.737919632773649650e-03
1.100220088035210029e-09,6.885989908370309873e-03
1.120224089635849975e-09,6.884577681288709707e-03
1.140228091236489920e-09,6.737410847153860183e-03
1.160232092837130072e-09,6.455280658324980339e-03
1.180236094437779944e-09,6.055304721140590020e-03
1.200240096038420096e-09,5.559871960487759723e-03
1.220244097639060042e-09,4.995334014454700169e-03
1.240248099239699987e-09,4.390520167820780029e-03
1.260252100840339933e-09,3.775161013701590178e-03
1.280256102440980085e-09,3.178309176687260131e-03
1.300260104041620030e-09,2.626801740285360145e-03
1.320264105642259976e-09,2.144156914127629855e-03
1.340268107242899921e-09,1.748915010295989947e-03
1.360272108843540074e-09,1.454643625210650000e-03
1.380276110444180019e-09,1.268635062548489987e-03
1.400280112044819965e-09,1.192299131308209928e-03
1.420284113645459910e-09,1.221130284169579970e-03
1.440288115246100062e-09,1.345253668558619954e-03
1.460292116846740008e-09,1.550210832369810013e-03
1.480296118447379953e-09,1.817972375154129931e-03
1.500300120048019899e-09,2.128113352155629797e-03
1.520304121648660051e-09,2.459079860356629989e-03
1.540308123249299996e-09,2.789472136399830104e-03
1.560312124849939942e-09,3.099270747345110166e-03
1.580316126450580094e-09,3.370937873303580124e-03
1.600320128051220040e-09,3.590334846690699903e-03
1.620324129651859985e-09,3.747409399195069952e-03
1.640328131252499931e-09,3.836620682060440032e-03
1.660332132853140083e-09,3.857086160260560052e-03
