# Time (s), DUT (V)
0.000000000000000000e+00,6.788672068836159798e-03
2.000400160064030090e-11,6.290979757758529897e-03
4.000800320128049841e-11,5.647558976205459789e-03
6.001200480192080577e-11,4.890263720826119875e-03
8.001600640256099681e-11,4.057253860958890367e-03
1.000200080032009940e-10,3.190983214224880123e-03
1.200240096038419993e-10,2.335938804704949887e-03
1.400280112044819965e-10,1.536255506064089981e-03
1.600320128051219936e-10,8.333379957158299585e-04
1.800360144057619908e-10,2.636221869606889868e-04
2.000400160064029961e-10,-1.433989868146340069e-04
2.200440176070429933e-10,-3.667749996358509791e-04
2.400480192076830163e-10,-3.952327143586250148e-04
2.600520208083230135e-10,-2.277832020473260111e-04
2.800560224089639929e-10,1.262336910713099955e-04
3.000600240096039901e-10,6.476695088428200070e-04
3.200640256102439873e-10,1.308622783217049980e-03
3.400680272108839844e-10,2.073970647690180202e-03
3.600720288115250156e-10,2.903290326949390081e-03
3.800760304121650128e-10,3.753062576276069984e-03
4.000800320128050099e-10,4.579033543572509635e-03
4.200840336134450071e-10,5.338603004453570250e-03
4.400880352140859865e-10,5.993105955829120153e-03
4.600920368147259837e-10,6.509861184808159694e-03
4.800960384153660326e-10,6.863874254248380005e-03
5.001000400160059781e-10,7.039102542307829925e-03
5.201040416166469575e-10,7.029215350733130155e-03
5.401080432172870064e-10,6.837811166030560023e-03
5.601120448179269519e-10,6.478085220233370349e-03
5.801160464185670007e-10,5.971971744372400054e-03
6.001200480192079802e-10,5.348814926392079713e-03
6.201240496198480290e-10,4.643648867316690042e-03
6.401280512204879745e-10,3.895188271034349860e-03
6.601320528211280234e-10,3.143646991092170079e-03
6.801360544217690028e-10,2.428518890502450161e-03
7.001400560224089483e-10,1.785986075599179951e-03
7.201440576230489972e-10,1.249036698031269965e-03
7.401480592236899766e-10,8.419692614673840144e-04
7.601520608243300255e-10,5.823749924341270435e-04
7.801560624249699710e-10,4.797988606734709992e-04
8.001600640256100198e-10,5.343990350176149647e-04
8.201640656262509993e-10,7.380468600554479898e-04
8.401680672268910482e-10,1.074671281168619987e-03
8.601720688275309936e-10,1.521499574178949987e-03
8.801760704281710425e-10,2.050525891501890196e-03
9.001800720288120220e-10,2.630263311383569842e-03
9.201840736294519674e-10,3.227651048224300205e-03
9.401880752300919129e-10,3.810001644956569847e-03
9.601920768307320652e-10,4.346872659875269766e-03
9.801960784313730446e-10,4.811753928270410402e-03
1.000200080032010095e-09,5.183474446698700146e-03
1.020204081632650040e-09,5.447251438607249654e-03
1.040208083233289986e-09,5.595327033956380008e-03
1.060212084833929931e-09,5.627163801890169847e-03
