# Time (s),Amplitude (V)
0.000000000000000000e+00,0.000000000000000000e+00
1.999999999999999879e-11,2.481339739761843736e-03
3.999999999999999758e-11,9.342321306866508551e-03
5.999999999999999960e-11,1.890011236062336120e-02
7.999999999999999516e-11,2.856460918599694476e-02
9.999999999999999072e-11,3.513881335236843789e-02
1.199999999999999992e-10,3.519825076577468709e-02
1.399999999999999818e-10,2.551278850216429084e-02
1.599999999999999903e-10,3.469671275347186584e-03
1.799999999999999988e-10,-3.254421098692129866e-02
1.999999999999999814e-10,-8.283980394423093307e-02
2.199999999999999899e-10,-1.462355088029823891e-01
2.399999999999999984e-10,-2.200017197366255783e-01
2.599999999999999810e-10,-2.999512454703269770e-01
2.799999999999999637e-10,-3.806735936369866624e-01
2.999999999999999980e-10,-4.558980643742159833e-01
3.199999999999999806e-10,-5.189586678476517667e-01
3.399999999999999633e-10,-5.633241060570098879e-01
3.599999999999999976e-10,-5.831493202184369062e-01
3.799999999999999802e-10,-5.738020229144173978e-01
3.999999999999999629e-10,-5.323185196404537356e-01
4.199999999999999972e-10,-4.577479484333045745e-01
4.399999999999999798e-10,-3.513524612386546009e-01
4.599999999999999625e-10,-2.166421599300980549e-01
4.799999999999999968e-10,-5.923685431246597521e-02
4.999999999999999277e-10,1.134391742710841311e-01
5.199999999999999621e-10,2.926094259944889697e-01
5.399999999999999964e-10,4.687121667271491599e-01
5.599999999999999273e-10,6.320400813160956810e-01
5.799999999999999617e-10,7.734041253938840343e-01
5.999999999999999960e-10,8.847706209287470314e-01
6.199999999999999269e-10,9.598223091379413097e-01
6.399999999999999613e-10,9.959127773766940361e-01
6.599999999999999956e-10,9.946987914818997689e-01
6.799999999999999265e-10,9.563486526008864175e-01
6.999999999999999609e-10,8.822941274521054478e-01
7.199999999999999952e-10,7.752999727627165605e-01
7.399999999999999261e-10,6.393607156510815459e-01
7.599999999999999605e-10,4.795515216770277478e-01
7.799999999999999948e-10,3.018387182623301079e-01
7.999999999999999257e-10,1.128570474130454609e-01
8.199999999999999601e-10,-8.033803619414635333e-02
8.399999999999999944e-10,-2.705337740413291114e-01
8.599999999999999253e-10,-4.506293853911495506e-01
8.799999999999999597e-10,-6.139011683224807614e-01
8.999999999999999940e-10,-7.542535228796426461e-01
9.199999999999999250e-10,-8.664465246197329273e-01
9.399999999999998559e-10,-9.462915523115985605e-01
9.599999999999999936e-10,-9.908076662085096853e-01
9.799999999999999246e-10,-9.983328986573576369e-01
9.999999999999998555e-10,-9.685863021131474460e-01
1.019999999999999993e-09,-9.026784380539301100e-01
1.039999999999999924e-09,-8.030699152023261789e-01
1.059999999999999855e-09,-6.734795249904992342e-01
1.079999999999999993e-09,-5.187454039454689747e-01
