# Time (s),Amplitude (V)
0.000000000000000000e+00,5.488367823666594284e-05
2.000400160064025567e-11,7.436100266778109110e-05
4.000800320128051133e-11,9.275939020560576651e-05
6.001200480192076700e-11,1.088830643931671706e-04
8.001600640256102266e-11,1.216589986689979954e-04
1.000200080032012783e-10,1.302048839903578042e-04
1.200240096038415340e-10,1.338863532338148638e-04
1.400280112044817897e-10,1.323598331334446365e-04
1.600320128051220453e-10,1.255982195734123351e-04
1.800360144057623010e-10,1.138975773768451029e-04
2.000400160064025567e-10,9.786419273650024547e-05
2.200440176070428123e-10,7.838248852610365364e-05
2.400480192076830680e-10,5.656547919433826054e-05
2.600520208083233237e-10,3.369052217166674330e-05
2.800560224089635793e-10,1.112405049169526245e-05
3.000600240096038350e-10,-9.760311200725602660e-06
3.200640256102440907e-10,-2.766538373281567846e-05
3.400680272108843463e-10,-4.145078581506678975e-05
3.600720288115246020e-10,-5.020509092836916823e-05
3.800760304121648577e-10,-5.330530202814038422e-05
4.000800320128051133e-10,-5.045985711207879329e-05
4.200840336134453690e-10,-4.173231532410809190e-05
4.400880352140856247e-10,-2.754399360112587251e-05
4.600920368147258803e-10,-8.655063026917783774e-06
4.800960384153661360e-10,1.387510069226143916e-05
5.001000400160063916e-10,3.874626321785161308e-05
5.201040416166466473e-10,6.449117529382592591e-05
5.401080432172869030e-10,8.956074175817975696e-05
5.601120448179271586e-10,1.124156056638549118e-04
5.801160464185674143e-10,1.316187823938269033e-04
6.001200480192076700e-10,1.459238371378301718e-04
6.201240496198479256e-10,1.543532832400717006e-04
6.401280512204881813e-10,1.562623817609088848e-04
6.601320528211284370e-10,1.513843180981276312e-04
6.801360544217686926e-10,1.398537760283159390e-04
7.001400560224089483e-10,1.222071641099125531e-04
7.201440576230492040e-10,9.935910321301085998e-05
7.401480592236894596e-10,7.255617834141817263e-05
7.601520608243297153e-10,4.331031099580656462e-05
7.801560624249699710e-10,1.331533978518761528e-05
8.001600640256102266e-10,-1.564856713392516292e-05
8.201640656262504823e-10,-4.181726709088948125e-05
8.401680672268907380e-10,-6.354589489744265059e-05
8.601720688275309936e-10,-7.940700972166583535e-05
8.801760704281712493e-10,-8.827785274489289582e-05
9.001800720288115050e-10,-8.941148995091012627e-05
9.201840736294517606e-10,-8.248748409696399718e-05
9.401880752300919129e-10,-6.763887313692232024e-05
9.601920768307322720e-10,-4.545356550963646034e-05
9.801960784313726310e-10,-1.694971988351768189e-05
1.000200080032012783e-09,1.647382562808143877e-05
1.020204081632652936e-09,5.310955892607482519e-05
1.040208083233293295e-09,9.103189878455883910e-05
1.060212084833933654e-09,1.282014536444645914e-04
1.080216086434573806e-09,1.625771541284476744e-04
1.100220088035213958e-09,1.922299703928531005e-04
1.120224089635854317e-09,2.154517748604488294e-04
1.140228091236494676e-09,2.308531297739739498e-04
1.160232092837134829e-09,2.374443573634941692e-04
1.180236094437774981e-09,2.346951572330888960e-04
1.200240096038415340e-09,2.225692205968288792e-04
1.220244097639055699e-09,2.015316875317754274e-04
1.240248099239695851e-09,1.725288221374906531e-04
1.260252100840336004e-09,1.369408539775785936e-04
1.280256102440976363e-09,9.651046200041205753e-05
1.300260104041616722e-09,5.325077108166893384e-05
