# Time (s),Amplitude (V)
0.000000000000000000e+00,1.639344315661740118e-04
1.999999999999619893e-11,2.851338399752829825e-04
4.000000000000569737e-11,3.813650844851440244e-04
6.000000000000189953e-11,4.460689356205650041e-04
7.999999999999809523e-11,4.747245409180370231e-04
9.999999999999430385e-11,4.651382155851240029e-04
1.200000000000040059e-10,4.175856208737480243e-04
1.400000000000000077e-10,3.347982881711670253e-04
1.599999999999960095e-10,2.217952289709939934e-04
1.800000000000059959e-10,8.557011211124560272e-05
2.000000000000019977e-10,-6.534642228181690297e-05
2.199999999999979995e-10,-2.214218794564830003e-04
2.399999999999940013e-10,-3.727208810599519882e-04
2.600000000000040135e-10,-5.095303775753540210e-04
2.800000000000000154e-10,-6.229718142524490448e-04
2.999999999999960172e-10,-7.055617560344889768e-04
3.200000000000059777e-10,-7.516856903462090008e-04
3.400000000000019795e-10,-7.579551592831309994e-04
3.599999999999979814e-10,-7.234256846774019933e-04
3.799999999999939832e-10,-6.496616821011699794e-04
4.000000000000039954e-10,-5.406441651796750148e-04
4.199999999999999972e-10,-4.025269164224939901e-04
4.399999999999959990e-10,-2.432563246590680112e-04
4.600000000000049773e-10,-7.207866338396700474e-05
4.800000000000019614e-10,1.010343305760399936e-04
4.999999999999979632e-10,2.660055687321740249e-04
5.199999999999939650e-10,4.132795136180199801e-04
5.400000000000040289e-10,5.344165260011109544e-04
5.600000000000000307e-10,6.226173352655490524e-04
5.799999999999960326e-10,6.731446831175370155e-04
6.000000000000049591e-10,6.836156351945800328e-04
6.200000000000019949e-10,6.541461687022369484e-04
6.399999999999979967e-10,5.873389177450120046e-04
6.599999999999939986e-10,4.881148095048620100e-04
6.800000000000030285e-10,3.633991348864840164e-04
6.999999999999999609e-10,2.216817501983280134e-04
7.199999999999959627e-10,7.247902617362639874e-05
7.400000000000049926e-10,-7.426865121880079593e-05
7.600000000000020284e-10,-2.088259570924060006e-04
7.799999999999980303e-10,-3.222787216053350084e-04
7.999999999999940321e-10,-4.070982793697079747e-04
8.200000000000029586e-10,-4.576185463221420073e-04
8.399999999999999944e-10,-4.703957652879340147e-04
8.599999999999959962e-10,-4.444282231664509978e-04
8.800000000000050262e-10,-3.812220351919129858e-04
9.000000000000010280e-10,-2.846987632343140240e-04
9.199999999999979604e-10,-1.609505781943579880e-04
9.399999999999940656e-10,-1.785826642751969881e-05
9.600000000000030955e-10,1.354039862138809911e-04
9.799999999999999246e-10,2.889459648199769830e-04
9.999999999999959264e-10,4.327846968429329886e-04
1.020000000000009919e-09,5.574744610996870469e-04
1.039999999999999924e-09,6.547039209793140482e-04
1.060000000000000062e-09,7.178228081453270383e-04
